hour,avg_trip_distance,std_trip_distance,avg_fare_amount,std_fare_amount,num_trips
0,3.8294324231969052,4.81055875942647,19.479442564402166,22.089385658804176,90719
1,3.2642124561130426,4.0862534417720555,17.05005966896695,18.95920197692271,57819
2,2.8020898864835644,3.1616521669836803,15.312116914206287,16.854723616190117,38849
3,3.113981353309991,3.6064972920351512,16.33260402247374,17.543625583601397,24562
4,4.477260698379913,5.227941108893719,21.84324146388692,24.528045924705,15493
5,6.277956459467201,6.7780404614641165,27.809794901174445,28.434295681223297,17455
6,4.928898183846172,6.053217672320504,22.858763366552704,25.484197536451934,41241
7,3.7805766597598365,19.383749763148614,19.62120712009403,20.941310611239427,82527
8,3.2573328868648987,4.381644064112152,19.06472622555585,18.731480499877144,111990
9,3.1599401594719225,4.803093869980258,18.9273807430713,18.439131791023158,129678
10,3.1978482387482394,15.90374994181371,19.211198786358445,18.274528172664667,142711
11,3.257084466025687,14.373061368980919,19.875649557362124,19.76741496545974,154867
12,3.279820747086841,4.532223632000269,20.25578186502112,19.76161702113976,166915
13,3.562750329872067,4.928624659632993,21.14843480006884,21.189853998010197,174310
14,3.741313033287197,13.369412297856499,21.922259096043398,22.61167694076293,188571
15,3.65250580426089,13.1657691250551,21.78766208462459,22.430662719556064,195546
16,3.7063397771919724,5.140138608153345,22.034680382591482,22.705000246598065,198018
17,3.3289596149464566,4.679917021707347,20.31095394736842,20.916889354520407,210672
18,3.168216513108033,7.312559672719802,19.021749609635386,19.983066495242277,219026
19,3.337013774876867,4.6386431912415835,19.0482236815761,20.016811392006424,199784
20,3.577420002083208,19.902520867154095,19.256374999314733,20.038085037081775,182411
21,3.6744764835115564,14.937929380318659,19.460518640572108,20.323853969521565,178428
22,3.811426482873851,4.755089014212354,20.0446697626419,21.01464727174986,162792
23,4.161165056252035,5.064186310632973,20.967397559368326,22.031172676792764,125951
